start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1106.5385,1106.5463,39218.0,54583.0,Echolocation,Pipistrellus nathusii,0.487,0.594,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.6265,1106.6326,40078.0,52171.0,Echolocation,Pipistrellus nathusii,0.53,0.592,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.7245,1106.7339,39218.0,50079.0,Echolocation,Pipistrellus nathusii,0.506,0.597,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.8275,1106.8369,38359.0,55573.0,Echolocation,Pipistrellus nathusii,0.504,0.536,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1106.9315,1106.94,39218.0,57182.0,Echolocation,Pipistrellus nathusii,0.547,0.645,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.0285,1107.0374,38359.0,57126.0,Echolocation,Pipistrellus nathusii,0.589,0.638,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.1235,1107.1332,37500.0,52621.0,Echolocation,Pipistrellus nathusii,0.63,0.656,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.2195,1107.2298,39218.0,55052.0,Echolocation,Pipistrellus nathusii,0.55,0.587,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.3245,1107.3347,38359.0,57248.0,Echolocation,Pipistrellus nathusii,0.585,0.637,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
1107.4355,1107.443,40078.0,55436.0,Echolocation,Pipistrellus nathusii,0.584,0.602,-1,/mnt/ubna_data_02/recover-20230725/UBNA_002/20230718_043600.WAV,recover-20230725,UBNA_002,(Site not found in Field Records)
