,KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file
32,LF,0.6570666666666666,15750.0,16320.000000000002,1.4645960466777135,0.6535,0.6621,14296,20616,Plecotus auritus,0.011,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
33,LF,0.6637666666666666,26250.0,26880.000000000004,-0.21304628927360508,0.6595,0.6674,25468,38321,Eptesicus serotinus,0.008,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
34,HF,0.6887,33750.0,36480.0,1.9876529147361337,0.6805,0.6903,32343,44132,Eptesicus serotinus,0.007,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
35,LF,0.7321666666666666,27750.0,28800.0,0.3024439786803989,0.7245,0.7325,28046,41205,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
36,LF,0.7433333333333334,29250.0,28800.0,2.1969958732254566,0.7415,0.7495,28046,40453,Eptesicus serotinus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
37,LF,0.7797999999999999,25500.0,26880.000000000004,0.24968414998868155,0.7765,0.7877,25468,29683,Nyctalus leisleri,0.011,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
38,HF,0.8057333333333332,72000.0,69120.0,-0.21539173269059136,0.7795,0.8191,68437,82558,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
39,HF,0.8547333333333333,72750.0,72000.0,0.2683019770785972,0.8405,0.8746,68437,81657,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
40,LF,0.8537666666666668,35250.0,26880.000000000004,0.1990102403034042,0.8525,0.8599,28046,42488,Eptesicus serotinus,0.006,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
41,HF,0.8914666666666666,72000.0,72000.0,0.2931572608891015,0.8795,0.9147,68437,81902,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
42,HF,0.9148333333333333,78750.0,71040.0,0.36040842146885643,0.8965,0.9335,68437,82120,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
43,HF,0.9010666666666667,42000.0,41280.0,0.6055019842164188,0.8985,0.9046,36640,44801,Barbastellus barbastellus,0.01,0.033,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
44,LF,0.9001999999999999,23250.0,24960.0,0.535996973004481,0.8995,0.9063,24609,39739,Plecotus austriacus,0.009,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
45,LF,0.9362999999999999,26250.0,25920.0,0.30948170958796695,0.9355,0.9422,24609,34987,Plecotus austriacus,0.008,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
46,HF,0.9648666666666668,71250.0,75840.0,0.5471858774960169,0.9545,0.9913,68437,81874,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
47,LF,0.9660666666666667,29250.0,29760.0,0.11718084981082351,0.9565,0.9661,28046,36128,Eptesicus serotinus,0.01,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
48,LF,0.9696,24750.0,23040.0,0.09625373265611219,0.9685,0.9749,24609,35418,Plecotus austriacus,0.009,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
49,HF,0.9945666666666667,51750.0,51840.0,0.5674756912721721,0.9875,0.9996,49531,54128,Pipistrellus pipistrellus,0.017,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
50,HF,1.0426666666666669,73500.0,80640.0,-1.0582412470651619,1.0115,1.0485,68437,82296,Rhinolophus ferrumequinum,0.022,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
51,LF,1.0591333333333333,25500.0,25920.0,2.0496705452469284,1.0565,1.0637,25468,38095,Eptesicus serotinus,0.007,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
52,HF,1.0971666666666668,71250.0,77760.0,0.38458020363923795,1.0925,1.128,68437,81297,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
53,LF,1.1189000000000002,21750.0,22080.0,-0.24904068726394554,1.1105,1.1236,22031,25984,Nyctalus leisleri,0.016,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
54,HF,1.2395,69750.0,75840.0,0.19283230874325621,1.2035,1.2415,68437,82297,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
55,HF,1.2397333333333331,39000.0,41280.0,0.005271798709697829,1.2325,1.2421,37500,43746,Barbastellus barbastellus,0.005,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
56,LF,1.2401000000000002,27000.0,27839.999999999996,1.2444230091202027,1.2395,1.2464,27187,40902,Eptesicus serotinus,0.006,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
57,LF,1.2594666666666667,36000.0,28800.0,0.4873372860644366,1.2575,1.2642,28046,42115,Eptesicus serotinus,0.007,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
58,LF,1.3144333333333336,29250.0,32640.000000000004,-0.2110060735301467,1.3115,1.3219,28906,34386,Eptesicus serotinus,0.014,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
59,HF,1.3562666666666665,73500.0,81600.0,0.13746325054205114,1.3535,1.3909,68437,82584,Rhinolophus ferrumequinum,0.037,0.037,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
60,LF,1.3750999999999998,27750.0,26880.000000000004,0.5014308526372849,1.3715,1.3789,26328,39568,Eptesicus serotinus,0.006,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
61,HF,1.4019666666666666,78000.0,73920.0,0.09892766237306198,1.3835,1.4157,68437,81029,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
62,HF,1.4020666666666668,78000.0,73920.0,-0.49095504684779406,1.3945,1.4341,68437,82079,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
63,HF,1.4064333333333332,72000.0,77760.0,-0.17986047682598721,1.4015,1.4414,68437,82670,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
64,LF,1.4123,24750.0,24000.0,0.9210462443936545,1.4115,1.4182,24609,35319,Plecotus austriacus,0.009,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
65,HF,1.4576333333333333,81000.0,69120.0,0.8962264800471608,1.4335,1.4717,68437,82152,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
66,LF,1.4524000000000001,21750.0,23040.0,1.5489501039942786,1.4455,1.4566,22890,27263,Nyctalus leisleri,0.012,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
67,HF,1.457733333333333,81000.0,72000.0,1.1948343839834268,1.4465,1.4871,68437,82226,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
68,LF,1.4745666666666668,24750.0,25920.0,-0.24581669179922105,1.4695,1.4801,25468,31969,Eptesicus serotinus,0.009,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
69,LF,1.5111999999999999,31500.0,25920.0,0.4016411256598443,1.5105,1.5173,26328,37973,Eptesicus serotinus,0.008,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
70,HF,1.5323000000000002,75750.0,71040.0,0.15896348675635222,1.5235,1.5607,68437,82028,Rhinolophus ferrumequinum,0.027,0.027,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
71,LF,1.5741666666666665,28500.0,24000.0,1.0463829978078785,1.5735,1.5815,24609,33804,Plecotus austriacus,0.007,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
72,HF,1.6076,81750.0,81600.0,-0.38592590206624305,1.5745,1.6119,68437,82602,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
73,LF,1.5990666666666666,40500.0,33600.0,-0.03984119026901934,1.5965,1.6026,28906,42987,Eptesicus serotinus,0.005,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
74,LF,1.6146333333333331,36750.0,25920.0,-0.24717680125725838,1.6115,1.6182,26328,41579,Eptesicus serotinus,0.006,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
75,HF,1.6792333333333334,80250.0,69120.0,0.09581536664747661,1.6515,1.6896,68437,81491,Rhinolophus ferrumequinum,0.023,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
76,HF,1.6865000000000003,67500.0,72000.0,-0.11037214824145086,1.6745,1.712,68437,82322,Rhinolophus ferrumequinum,0.025,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
77,LF,1.7209999999999996,26250.0,37440.0,-0.37283632543435496,1.7165,1.723,27187,41986,Eptesicus serotinus,0.007,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
78,LF,1.7438666666666667,27750.0,28800.0,1.2958460608974014,1.7365,1.7448,26328,35276,Eptesicus serotinus,0.009,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
79,HF,1.7855999999999999,78750.0,72960.0,-0.2940699459480237,1.7505,1.7859,68437,81696,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
80,HF,1.785566666666667,78750.0,72960.0,0.2388672463652652,1.7595,1.7911,68437,81527,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
81,LF,1.7843333333333335,35250.0,30720.0,0.7427566593202144,1.7835,1.7925,28906,37688,Eptesicus serotinus,0.01,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
82,HF,1.7959333333333332,59250.0,58560.0,1.1721652614445186,1.7945,1.8099,57265,63070,Pipistrellus pygmaeus,0.02,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
83,HF,1.8382666666666667,80250.0,71040.0,-0.1804962532346967,1.8345,1.8744,68437,82718,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
84,LF,1.8436333333333332,29250.0,28800.0,0.2295946950498874,1.8415,1.8492,26328,38463,Eptesicus serotinus,0.006,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
85,LF,1.8703666666666665,26250.0,24960.0,0.6723137673753654,1.8655,1.8728,25468,37970,Plecotus austriacus,0.006,0.025,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
86,LF,1.8837000000000002,25500.0,25920.0,-0.03587137244803152,1.8765,1.8873,26328,32722,Eptesicus serotinus,0.01,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
87,HF,1.887333333333333,80250.0,78720.0,0.37768278028552693,1.8815,1.9205,68437,82354,Rhinolophus ferrumequinum,0.024,0.024,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
88,LF,1.9050666666666667,27750.0,27839.999999999996,-0.7643928286043095,1.9015,1.9101,28046,40635,Eptesicus serotinus,0.008,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
89,LF,1.9071333333333333,36000.0,38400.0,0.008901683857635347,1.9035,1.9132,34921,41699,Barbastellus barbastellus,0.005,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
90,LF,1.9336000000000002,37500.0,32640.000000000004,0.7254847157121981,1.9225,1.9364,32343,37812,Eptesicus serotinus,0.012,0.03,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
91,HF,1.9644666666666668,77250.0,70080.0,0.16770310378682168,1.9455,1.9842,68437,82321,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
92,LF,1.9556666666666667,28500.0,33600.0,0.6602023762107683,1.9535,1.96,28046,41835,Eptesicus serotinus,0.005,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
93,LF,1.9857333333333334,29250.0,38400.0,1.0305412953567092,1.9805,1.9886,28046,39422,Eptesicus serotinus,0.008,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
94,LF,2.007366666666667,26250.0,24960.0,-0.401382863091584,2.0015,2.0113,25468,35372,Eptesicus serotinus,0.012,0.037,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
95,HF,2.004966666666667,72000.0,69120.0,-0.3537940115528592,2.0015,2.0312,68437,78211,Rhinolophus ferrumequinum,0.028,0.028,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
96,LF,2.0113666666666665,34500.0,30720.0,0.8437147037157822,2.0105,2.0183,28046,40942,Eptesicus serotinus,0.008,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
97,HF,2.0591333333333335,76500.0,75840.0,-0.27242700998599195,2.0435,2.0797,68437,81450,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
98,HF,2.084466666666667,75000.0,72960.0,0.2498455886006357,2.0825,2.1172,68437,81409,Rhinolophus ferrumequinum,0.021,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
99,LF,2.1234666666666664,39000.0,28800.0,0.018761175923423228,2.1205,2.1297,28046,38894,Eptesicus serotinus,0.009,0.023,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
100,HF,2.1240000000000006,37500.0,37440.0,-0.4251144083113798,2.1225,2.1285,34062,47843,Myotis daubentonii,0.008,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
101,HF,2.1484000000000005,73500.0,72000.0,0.10605070698995368,2.1475,2.1891,68437,82436,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
102,HF,2.1927333333333334,74250.0,69120.0,-0.06724605038325991,2.1675,2.2046,68437,81966,Rhinolophus ferrumequinum,0.026,0.026,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
103,LF,2.178033333333334,29250.0,28800.0,1.4841708006518763,2.1745,2.1843,27187,33820,Eptesicus serotinus,0.015,0.036,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
104,LF,2.193,30750.0,30720.0,-0.022153078027842332,2.1925,2.1995,27187,41310,Eptesicus serotinus,0.005,0.02,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
105,HF,2.2699333333333334,70500.0,71040.0,-0.690962098932043,2.2395,2.2749,68437,82377,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
106,LF,2.2704000000000004,36000.0,28800.0,0.4114139074631602,2.2675,2.2756,28046,40089,Eptesicus serotinus,0.008,0.021,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
107,HF,2.3617,78750.0,75840.0,0.010797850471849675,2.3345,2.3708,68437,81826,Rhinolophus ferrumequinum,0.022,0.022,-1,Echolocation,192000,/Users/adityakrishna/Documents/Research/mila_files/mila-human-wav-txt/20220730_053000.WAV
