KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
HF,1.551668,31250.0,27839.999999999996,15.947810305942284,2401.5465,2401.5569,23750,48069,Eptesicus serotinus,0.405,0.709,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,HF,2025-05-02 04:10:15.546500,2025-05-02 04:10:15.546500,2025-05-02 04:10:15.556900,2401.5465,2401.5569
LF,1.5736279999999998,31250.0,27839.999999999996,-1.7342153140887384,2401.5715,2401.5827,24609,31382,Eptesicus serotinus,0.127,0.279,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel3_2400to3000.WAV,LF,2025-05-02 04:10:15.571500,2025-05-02 04:10:15.571500,2025-05-02 04:10:15.582700,2401.5715,2401.5827
HF,1.58758,39062.5,36480.0,17.186387108921952,2401.5855,2401.5935,27187,50886,Eptesicus serotinus,0.466,0.654,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,HF,2025-05-02 04:10:15.585500,2025-05-02 04:10:15.585500,2025-05-02 04:10:15.593500,2401.5855,2401.5935
LF,1.618264,31250.0,25920.0,9.014883030140286,2401.6165,2401.6256,23750,40875,Nyctalus noctula,0.299,0.67,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.616500,2025-05-02 04:10:15.616500,2025-05-02 04:10:15.625600,2401.6165,2401.6256
LF,1.6604279999999998,31250.0,26880.000000000004,9.492468195984934,2401.6575,2401.6707,24609,42949,Eptesicus serotinus,0.499,0.695,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel7_2400to3000.WAV,LF,2025-05-02 04:10:15.657500,2025-05-02 04:10:15.657500,2025-05-02 04:10:15.670700,2401.6575,2401.6707
LF,1.6990119999999995,31250.0,30720.0,6.78407711886415,2401.6965,2401.7053,25468,39204,Eptesicus serotinus,0.306,0.614,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.696500,2025-05-02 04:10:15.696500,2025-05-02 04:10:15.705300,2401.6965,2401.7053
LF,1.7295999999999998,31250.0,28800.0,20.55491195899939,2401.7245,2401.7362,24609,48030,Eptesicus serotinus,0.371,0.696,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel6_2400to3000.WAV,LF,2025-05-02 04:10:15.724500,2025-05-02 04:10:15.724500,2025-05-02 04:10:15.736200,2401.7245,2401.7362
LF,1.7508639999999998,31250.0,27839.999999999996,-8.24116511853138,2401.7485,2401.7598,25468,33393,Eptesicus serotinus,0.156,0.274,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel5_2400to3000.WAV,LF,2025-05-02 04:10:15.748500,2025-05-02 04:10:15.748500,2025-05-02 04:10:15.759800,2401.7485,2401.7598
LF,1.7651040000000002,31250.0,32640.000000000004,7.766354490257584,2401.7615,2401.7766,23750,43173,Eptesicus serotinus,0.452,0.623,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel0_2400to3000.WAV,LF,2025-05-02 04:10:15.761500,2025-05-02 04:10:15.761500,2025-05-02 04:10:15.776600,2401.7615,2401.7766
LF,1.789484,31250.0,25920.0,6.875941962022289,2401.7875,2401.7975,23750,45129,Nyctalus noctula,0.39,0.714,-1,Echolocation,250000,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_2400to3000/hour_0_channel4_2400to3000.WAV,LF,2025-05-02 04:10:15.787500,2025-05-02 04:10:15.787500,2025-05-02 04:10:15.797500,2401.7875,2401.7975
