Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file
16	Spectrogram 1	1	98.963500000	98.967700000	45234.000	66296.000	HF	98.96563333333332	56250.0	52800.00000000001	5.794541985319718	Myotis alcathoe	0.106	0.179	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17	Waveform 1	1	123.780500000	123.785400000	33203.000	73182.000	HF	123.78193333333331	49500.0	55679.99999999999	6.406818965252531	Myotis mystacinus	0.014	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
17	Spectrogram 1	1	123.780500000	123.785400000	33203.000	73182.000	HF	123.78193333333331	49500.0	55679.99999999999	6.406818965252531	Myotis mystacinus	0.014	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18	Waveform 1	1	124.001500000	124.012700000	58125.000	65475.000	HF	124.0083	60000.0	57600.0	6.985010311877245	Pipistrellus pygmaeus	0.06	0.063	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
18	Spectrogram 1	1	124.001500000	124.012700000	58125.000	65475.000	HF	124.0083	60000.0	57600.0	6.985010311877245	Pipistrellus pygmaeus	0.06	0.063	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19	Waveform 1	1	158.886500000	158.907000000	25468.000	30777.000	LF	158.90266666666668	25500.0	25920.0	7.549824625120948	Nyctalus leisleri	0.067	0.137	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
19	Spectrogram 1	1	158.886500000	158.907000000	25468.000	30777.000	LF	158.90266666666668	25500.0	25920.0	7.549824625120948	Nyctalus leisleri	0.067	0.137	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
20	Waveform 1	1	160.432500000	160.450300000	26328.000	30888.000	LF	160.44786666666667	27000.0	26880.000000000004	6.871527156825199	Nyctalus leisleri	0.081	0.149	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
20	Spectrogram 1	1	160.432500000	160.450300000	26328.000	30888.000	LF	160.44786666666667	27000.0	26880.000000000004	6.871527156825199	Nyctalus leisleri	0.081	0.149	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
21	Waveform 1	1	162.027500000	162.033800000	17734.000	28599.000	LF	162.02986666666666	21000.0	20160.0	9.001799771772646	Plecotus austriacus	0.059	0.097	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
21	Spectrogram 1	1	162.027500000	162.033800000	17734.000	28599.000	LF	162.02986666666666	21000.0	20160.0	9.001799771772646	Plecotus austriacus	0.059	0.097	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
22	Waveform 1	1	163.845500000	163.852400000	56406.000	64698.000	HF	163.8496	57750.0	56640.0	16.090333723167305	Pipistrellus pygmaeus	0.045	0.053	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
22	Spectrogram 1	1	163.845500000	163.852400000	56406.000	64698.000	HF	163.8496	57750.0	56640.0	16.090333723167305	Pipistrellus pygmaeus	0.045	0.053	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
23	Waveform 1	1	164.200500000	164.208100000	46093.000	60496.000	HF	164.2039	52500.0	48960.0	5.531179304457805	Pipistrellus pipistrellus	0.08	0.103	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
23	Spectrogram 1	1	164.200500000	164.208100000	46093.000	60496.000	HF	164.2039	52500.0	48960.0	5.531179304457805	Pipistrellus pipistrellus	0.08	0.103	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
24	Waveform 1	1	169.357500000	169.374900000	25468.000	31452.000	LF	169.37326666666667	25500.0	25920.0	6.923357815126087	Nyctalus leisleri	0.043	0.108	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
24	Spectrogram 1	1	169.357500000	169.374900000	25468.000	31452.000	LF	169.37326666666667	25500.0	25920.0	6.923357815126087	Nyctalus leisleri	0.043	0.108	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
25	Waveform 1	1	182.292500000	182.298500000	28046.000	53174.000	HF	182.2975	43500.0	43200.0	10.145213652913846	Myotis daubentonii	0.017	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
25	Spectrogram 1	1	182.292500000	182.298500000	28046.000	53174.000	HF	182.2975	43500.0	43200.0	10.145213652913846	Myotis daubentonii	0.017	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
26	Waveform 1	1	182.484500000	182.490400000	49531.000	54062.000	HF	182.4861	49500.0	48960.0	6.279850610594479	Pipistrellus pipistrellus	0.014	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
26	Spectrogram 1	1	182.484500000	182.490400000	49531.000	54062.000	HF	182.4861	49500.0	48960.0	6.279850610594479	Pipistrellus pipistrellus	0.014	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
27	Waveform 1	1	191.671500000	191.676900000	37500.000	65830.000	HF	191.6759333333333	52500.0	52800.00000000001	5.319628138927685	Myotis mystacinus	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
27	Spectrogram 1	1	191.671500000	191.676900000	37500.000	65830.000	HF	191.6759333333333	52500.0	52800.00000000001	5.319628138927685	Myotis mystacinus	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
28	Waveform 1	1	191.739500000	191.747900000	56406.000	64915.000	HF	191.7421	57000.0	56640.0	7.924753033168645	Pipistrellus pygmaeus	0.024	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
28	Spectrogram 1	1	191.739500000	191.747900000	56406.000	64915.000	HF	191.7421	57000.0	56640.0	7.924753033168645	Pipistrellus pygmaeus	0.024	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
29	Waveform 1	1	193.972500000	193.977100000	46093.000	66421.000	HF	193.9754	52500.0	48960.0	9.40761055996226	Pipistrellus pipistrellus	0.08	0.2	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
29	Spectrogram 1	1	193.972500000	193.977100000	46093.000	66421.000	HF	193.9754	52500.0	48960.0	9.40761055996226	Pipistrellus pipistrellus	0.08	0.2	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
30	Waveform 1	1	194.025500000	194.031200000	32343.000	70028.000	HF	194.0273	48750.0	48960.0	9.1733365269933	Myotis brandtii	0.012	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
30	Spectrogram 1	1	194.025500000	194.031200000	32343.000	70028.000	HF	194.0273	48750.0	48960.0	9.1733365269933	Myotis brandtii	0.012	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
31	Waveform 1	1	194.185500000	194.190400000	30625.000	70488.000	HF	194.1881	55500.0	55679.99999999999	7.968958967030635	Myotis mystacinus	0.011	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
31	Spectrogram 1	1	194.185500000	194.190400000	30625.000	70488.000	HF	194.1881	55500.0	55679.99999999999	7.968958967030635	Myotis mystacinus	0.011	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
32	Waveform 1	1	194.263500000	194.268400000	32343.000	80510.000	HF	194.26493333333332	52500.0	52800.00000000001	8.979958245277288	Myotis mystacinus	0.022	0.056	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
32	Spectrogram 1	1	194.263500000	194.268400000	32343.000	80510.000	HF	194.26493333333332	52500.0	52800.00000000001	8.979958245277288	Myotis mystacinus	0.022	0.056	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
33	Waveform 1	1	194.303500000	194.308300000	31484.000	81363.000	HF	194.3050333333333	47250.0	54719.99999999999	9.18533511133604	Myotis mystacinus	0.022	0.054	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
33	Spectrogram 1	1	194.303500000	194.308300000	31484.000	81363.000	HF	194.3050333333333	47250.0	54719.99999999999	9.18533511133604	Myotis mystacinus	0.022	0.054	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
34	Waveform 1	1	194.429500000	194.433400000	43515.000	65048.000	HF	194.43076666666667	54000.0	48000.0	6.780548966052845	Myotis alcathoe	0.07	0.188	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
34	Spectrogram 1	1	194.429500000	194.433400000	43515.000	65048.000	HF	194.43076666666667	54000.0	48000.0	6.780548966052845	Myotis alcathoe	0.07	0.188	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
35	Waveform 1	1	194.466500000	194.472700000	52109.000	57672.000	HF	194.46896666666663	53250.0	52800.00000000001	5.623921980688866	Pipistrellus pipistrellus	0.107	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
35	Spectrogram 1	1	194.466500000	194.472700000	52109.000	57672.000	HF	194.46896666666663	53250.0	52800.00000000001	5.623921980688866	Pipistrellus pipistrellus	0.107	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
36	Waveform 1	1	195.274500000	195.281800000	58984.000	66404.000	HF	195.2782	60000.0	59520.0	10.601937105101625	Pipistrellus pygmaeus	0.02	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
36	Spectrogram 1	1	195.274500000	195.281800000	58984.000	66404.000	HF	195.2782	60000.0	59520.0	10.601937105101625	Pipistrellus pygmaeus	0.02	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
37	Waveform 1	1	195.436500000	195.442100000	33203.000	63222.000	HF	195.44073333333333	49500.0	48960.0	18.74216305568928	Myotis brandtii	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
37	Spectrogram 1	1	195.436500000	195.442100000	33203.000	63222.000	HF	195.44073333333333	49500.0	48960.0	18.74216305568928	Myotis brandtii	0.008	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
38	Waveform 1	1	196.025500000	196.031000000	34921.000	64509.000	HF	196.02983333333333	48750.0	48960.0	5.76417455970688	Myotis bechsteinii	0.009	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
38	Spectrogram 1	1	196.025500000	196.031000000	34921.000	64509.000	HF	196.02983333333333	48750.0	48960.0	5.76417455970688	Myotis bechsteinii	0.009	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
39	Waveform 1	1	203.676500000	203.680400000	45234.000	58967.000	HF	203.67776666666668	54000.0	53760.00000000001	5.59383134994296	Pipistrellus pipistrellus	0.097	0.198	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
39	Spectrogram 1	1	203.676500000	203.680400000	45234.000	58967.000	HF	203.67776666666668	54000.0	53760.00000000001	5.59383134994296	Pipistrellus pipistrellus	0.097	0.198	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
40	Waveform 1	1	203.752500000	203.779800000	23750.000	28131.000	LF	203.7747	24750.0	24960.0	5.762665211609778	Nyctalus leisleri	0.088	0.196	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
40	Spectrogram 1	1	203.752500000	203.779800000	23750.000	28131.000	LF	203.7747	24750.0	24960.0	5.762665211609778	Nyctalus leisleri	0.088	0.196	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
41	Waveform 1	1	204.552500000	204.557500000	52109.000	62058.000	HF	204.55383333333333	54750.0	54719.99999999999	8.791782456282531	Pipistrellus pygmaeus	0.124	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
41	Spectrogram 1	1	204.552500000	204.557500000	52109.000	62058.000	HF	204.55383333333333	54750.0	54719.99999999999	8.791782456282531	Pipistrellus pygmaeus	0.124	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
42	Waveform 1	1	204.585500000	204.589500000	48671.000	61065.000	HF	204.58666666666667	57750.0	57600.0	6.331789316800686	Pipistrellus pipistrellus	0.126	0.167	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
42	Spectrogram 1	1	204.585500000	204.589500000	48671.000	61065.000	HF	204.58666666666667	57750.0	57600.0	6.331789316800686	Pipistrellus pipistrellus	0.126	0.167	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
43	Waveform 1	1	204.662500000	204.668400000	55546.000	61328.000	HF	204.6629333333333	55500.0	55679.99999999999	9.616125163721016	Pipistrellus pygmaeus	0.062	0.065	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
43	Spectrogram 1	1	204.662500000	204.668400000	55546.000	61328.000	HF	204.6629333333333	55500.0	55679.99999999999	9.616125163721016	Pipistrellus pygmaeus	0.062	0.065	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
44	Waveform 1	1	213.325500000	213.332200000	50390.000	61504.000	HF	213.3298	53250.0	53760.00000000001	5.515363322491891	Pipistrellus pipistrellus	0.083	0.124	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
44	Spectrogram 1	1	213.325500000	213.332200000	50390.000	61504.000	HF	213.3298	53250.0	53760.00000000001	5.515363322491891	Pipistrellus pipistrellus	0.083	0.124	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
45	Waveform 1	1	213.657500000	213.664800000	48671.000	60940.000	HF	213.66003333333333	56250.0	55679.99999999999	5.413842105640512	Pipistrellus pipistrellus	0.134	0.192	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
45	Spectrogram 1	1	213.657500000	213.664800000	48671.000	60940.000	HF	213.66003333333333	56250.0	55679.99999999999	5.413842105640512	Pipistrellus pipistrellus	0.134	0.192	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
46	Waveform 1	1	230.278500000	230.284400000	33203.000	62774.000	HF	230.28243333333333	48750.0	48960.0	8.908816314353595	Myotis brandtii	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
46	Spectrogram 1	1	230.278500000	230.284400000	33203.000	62774.000	HF	230.28243333333333	48750.0	48960.0	8.908816314353595	Myotis brandtii	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
47	Waveform 1	1	230.660500000	230.665900000	56406.000	66011.000	HF	230.6626	59250.0	57600.0	8.524910871016832	Pipistrellus pygmaeus	0.087	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
47	Spectrogram 1	1	230.660500000	230.665900000	56406.000	66011.000	HF	230.6626	59250.0	57600.0	8.524910871016832	Pipistrellus pygmaeus	0.087	0.091	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
48	Waveform 1	1	231.415500000	231.419900000	57265.000	63916.000	HF	231.41743333333332	57750.0	62400.0	6.476839826620057	Myotis mystacinus	0.009	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
48	Spectrogram 1	1	231.415500000	231.419900000	57265.000	63916.000	HF	231.41743333333332	57750.0	62400.0	6.476839826620057	Myotis mystacinus	0.009	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
49	Waveform 1	1	231.932500000	231.937900000	34062.000	71443.000	HF	231.9346	53250.0	54719.99999999999	7.72869851079864	Myotis brandtii	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
49	Spectrogram 1	1	231.932500000	231.937900000	34062.000	71443.000	HF	231.9346	53250.0	54719.99999999999	7.72869851079864	Myotis brandtii	0.01	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
50	Waveform 1	1	236.135500000	236.142100000	47812.000	51797.000	HF	236.1364	48750.0	48000.0	6.363119926296895	Pipistrellus pipistrellus	0.017	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
50	Spectrogram 1	1	236.135500000	236.142100000	47812.000	51797.000	HF	236.1364	48750.0	48000.0	6.363119926296895	Pipistrellus pipistrellus	0.017	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
51	Waveform 1	1	245.909500000	245.918400000	55546.000	63336.000	HF	245.9116	56250.0	56640.0	8.076084426847746	Pipistrellus pygmaeus	0.063	0.066	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
51	Spectrogram 1	1	245.909500000	245.918400000	55546.000	63336.000	HF	245.9116	56250.0	56640.0	8.076084426847746	Pipistrellus pygmaeus	0.063	0.066	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
52	Waveform 1	1	258.948500000	258.954000000	35781.000	60273.000	HF	258.95166666666665	54750.0	52800.00000000001	6.908743502692587	Myotis mystacinus	0.007	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
52	Spectrogram 1	1	258.948500000	258.954000000	35781.000	60273.000	HF	258.95166666666665	54750.0	52800.00000000001	6.908743502692587	Myotis mystacinus	0.007	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
53	Waveform 1	1	259.135500000	259.141500000	52968.000	60287.000	HF	259.1381666666667	55500.0	54719.99999999999	5.628988816541996	Pipistrellus pygmaeus	0.13	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
53	Spectrogram 1	1	259.135500000	259.141500000	52968.000	60287.000	HF	259.1381666666667	55500.0	54719.99999999999	5.628988816541996	Pipistrellus pygmaeus	0.13	0.153	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
54	Waveform 1	1	260.268500000	260.274300000	54687.000	61908.000	HF	260.27136666666667	55500.0	55679.99999999999	5.1614641036428575	Pipistrellus pygmaeus	0.127	0.146	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV
