KMEANS_CLASSES,peak_frequency_time_SPECTROGRAM,peak_frequency_SPECTROGRAM,peak_frequency_WELCH,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,freq_group,call_start_time,cycle_ref_time,call_end_time,start_time_wrt_ref,end_time_wrt_ref
LF,327.613576,31250.0,31680.0,0.8917706228598555,1527.6125,1527.6252,26328.0,31579.0,Echolocation,Nyctalus leisleri,0.331,0.46,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:41.612500000,2025-05-02 03:55:41.612500000,2025-05-02 03:55:41.625200000,1527.6125,1527.6252
LF,327.867212,31250.0,31680.0,0.7707342576145986,1527.8665,1527.8799,26328.0,30999.0,Echolocation,Nyctalus leisleri,0.367,0.535,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:41.866500000,2025-05-02 03:55:41.866500000,2025-05-02 03:55:41.879900000,1527.8665,1527.8799
LF,328.029912,31250.0,26880.000000000004,2.1768818050629575,1528.0255,1528.038,25468.0,31123.0,Echolocation,Nyctalus leisleri,0.41,0.635,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:42.025500000,2025-05-02 03:55:42.025500000,2025-05-02 03:55:42.038000000,1528.0255,1528.038
LF,328.167416,31250.0,27839.999999999996,3.016423591186485,1528.1655,1528.1768,26328.0,31981.0,Echolocation,Nyctalus leisleri,0.474,0.608,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel4_1200to1800.WAV,LF,2025-05-02 03:55:42.165500000,2025-05-02 03:55:42.165500000,2025-05-02 03:55:42.176800000,1528.1655,1528.1768
LF,328.42736,31250.0,26880.000000000004,1.776338188047247,1528.4205,1528.4366,25468.0,29403.0,Echolocation,Nyctalus leisleri,0.314,0.407,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:42.420500000,2025-05-02 03:55:42.420500000,2025-05-02 03:55:42.436600000,1528.4205,1528.4366
LF,328.690688,23437.5,26880.000000000004,3.884622569136024,1528.6835,1528.6986,25468.0,28974.0,Echolocation,Nyctalus leisleri,0.523,0.611,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel7_1200to1800.WAV,LF,2025-05-02 03:55:42.683500000,2025-05-02 03:55:42.683500000,2025-05-02 03:55:42.698600000,1528.6835,1528.6986
LF,328.83844,31250.0,26880.000000000004,2.8346633181857763,1528.8375,1528.85,25468.0,30270.0,Echolocation,Nyctalus leisleri,0.576,0.672,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:42.837500000,2025-05-02 03:55:42.837500000,2025-05-02 03:55:42.850000000,1528.8375,1528.85
LF,329.088292,31250.0,26880.000000000004,4.807657000342776,1529.0845,1529.0992999999999,25468.0,29414.0,Echolocation,Nyctalus leisleri,0.522,0.612,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel6_1200to1800.WAV,LF,2025-05-02 03:55:43.084500000,2025-05-02 03:55:43.084500000,2025-05-02 03:55:43.099299999,1529.0845,1529.0992999999999
LF,329.34888,31250.0,26880.000000000004,5.785015746322063,1529.3435,1529.3594,25468.0,28994.0,Echolocation,Nyctalus leisleri,0.532,0.606,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:43.343500000,2025-05-02 03:55:43.343500000,2025-05-02 03:55:43.359400000,1529.3435,1529.3594
LF,329.511392,31250.0,26880.000000000004,6.659727437522813,1529.5025,1529.5149999999999,25468.0,31664.0,Echolocation,Nyctalus leisleri,0.434,0.701,-1,250000.0,/Volumes/Elements/UBNA_array_tests2025/mic_array_test_20250501/inUBNA/array/hour_0_1200to1800/hour_0_channel0_1200to1800.WAV,LF,2025-05-02 03:55:43.502500000,2025-05-02 03:55:43.502500000,2025-05-02 03:55:43.514999999,1529.5025,1529.5149999999999
