,datetime_UTC,site_name,recover_folder,audiomoth_num,sd_card_num,file_path,file_metadata,file_status,audiomoth_temperature,audiomoth_battery,sample_rate,audiomoth_artist_ID,file_duration,Deployment notes
36,2025-01-13 23:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250113_235000.WAV,Recorded at 23:50:00 13/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 6.1C.,Usable for detection, 6.1C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
37,2025-01-14 00:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_000000.WAV,Recorded at 00:00:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.8C.,Usable for detection, 5.8C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
38,2025-01-14 00:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_001000.WAV,Recorded at 00:10:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.8C.,Usable for detection, 5.8C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
39,2025-01-14 00:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_002000.WAV,Recorded at 00:20:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.6C.,Usable for detection, 5.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
40,2025-01-14 00:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_003000.WAV,Recorded at 00:30:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.6C.,Usable for detection, 5.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
41,2025-01-14 00:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_004000.WAV,Recorded at 00:40:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.3C.,Usable for detection, 5.3C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
42,2025-01-14 00:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_005000.WAV,Recorded at 00:50:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 5.2C.,Usable for detection, 5.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
43,2025-01-14 01:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_010000.WAV,Recorded at 01:00:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.8C.,Usable for detection, 4.8C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
44,2025-01-14 01:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_011000.WAV,Recorded at 01:10:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.5C.,Usable for detection, 4.5C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
45,2025-01-14 01:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_012000.WAV,Recorded at 01:20:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.2C.,Usable for detection, 4.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
46,2025-01-14 01:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_013000.WAV,Recorded at 01:30:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.2C.,Usable for detection, 4.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
47,2025-01-14 01:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_014000.WAV,Recorded at 01:40:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.9C.,Usable for detection, 3.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
48,2025-01-14 01:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_015000.WAV,Recorded at 01:50:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.6C.,Usable for detection, 3.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
49,2025-01-14 02:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_020000.WAV,Recorded at 02:00:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.2C.,Usable for detection, 4.2C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
50,2025-01-14 02:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_021000.WAV,Recorded at 02:10:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.6C.,Usable for detection, 3.6C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
51,2025-01-14 02:20:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_022000.WAV,Recorded at 02:20:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.0C.,Usable for detection, 4.0C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
52,2025-01-14 02:30:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_023000.WAV,Recorded at 02:30:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.9C.,Usable for detection, 3.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
53,2025-01-14 02:40:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_024000.WAV,Recorded at 02:40:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.4C.,Usable for detection, 3.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
54,2025-01-14 02:50:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_025000.WAV,Recorded at 02:50:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.4C.,Usable for detection, 3.4C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
55,2025-01-14 03:00:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_030000.WAV,Recorded at 03:00:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 3.9C.,Usable for detection, 3.9C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
56,2025-01-14 03:10:00,Telephone Field,recover-20250127,L,22,/mnt/ubna_data_04/recover-20250127/UBNA_022/20250114_031000.WAV,Recorded at 03:10:00 14/01/2025 (UTC) by AudioMoth 242A260463FACFE7 at medium gain while battery was 4.0V and temperature was 4.0C.,Usable for detection, 4.0C,4.0V,192000,AudioMoth 242A260463FACFE7,300.0019375,Ikea Batteries 0:00-24:00 UTC; All new batteries; all 9-battery; 24/7 5on 5off; 256GB SD cards
