Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
LF	8.5521	21000.0	21120.0	13.048624651977416	8.5495	8.5579	19453	26239	Plecotus austriacus	0.042	0.106	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	53	Waveform 1	1
LF	8.683499999999999	18750.0	19200.0	6.874485189152399	8.6785	8.6915	18593	23655	Nyctalus noctula	0.017	0.04	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	54	Waveform 1	1
LF	8.825333333333333	39750.0	35520.0	2.058060314689904	8.8155	8.826	34062	39623	Barbastellus barbastellus	0.008	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	55	Waveform 1	1
LF	8.8283	25500.0	26880.000000000004	2.015919849308224	8.8215	8.8292	27187	39974	Eptesicus serotinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	56	Waveform 1	1
HF	8.82553333333333	40500.0	37440.0	2.643742893083747	8.8235	8.8313	34921	44890	Myotis brandtii	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	57	Waveform 1	1
HF	8.948233333333334	42000.0	42240.0	2.658169070465388	8.9475	8.9531	36640	51999	Myotis brandtii	0.009	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	58	Waveform 1	1
LF	8.971999999999998	40500.0	40320.0	2.6101260423372152	8.9675	8.974	28906	40847	Myotis daubentonii	0.006	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	59	Waveform 1	1
LF	9.1275	21750.0	22080.0	3.103920616359712	9.1255	9.1345	21171	26503	Plecotus austriacus	0.009	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	60	Waveform 1	1
LF	9.3542	27750.0	27840.0	2.443639146010537	9.3475	9.3553	27187	36012	Eptesicus serotinus	0.007	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	61	Waveform 1	1
LF	9.3768	42000.0	39360.0	2.4220431727365503	9.3755	9.3817	32343	41934	Myotis daubentonii	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	62	Waveform 1	1
LF	9.377233333333336	37500.0	29760.0	2.129227052159647	9.3755	9.3836	28046	38756	Eptesicus serotinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	63	Waveform 1	1
HF	9.653333333333332	41250.0	36480.0	2.500270847475261	9.6525	9.6615	34921	46401	Pipistrellus nathusii	0.009	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	64	Waveform 1	1
LF	9.708266666666669	24000.0	24000.0	2.119280294816639	9.7055	9.7149	22890	28668	Nyctalus leisleri	0.011	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	65	Waveform 1	1
HF	10.0656	46500.0	49920.0	2.3222458407753206	10.0625	10.0704	47812	55735	Pipistrellus pipistrellus	0.019	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	66	Waveform 1	1
HF	10.124466666666669	42000.0	41280.0	4.80667855460195	10.1225	10.1292	24609	47682	Myotis nattereri	0.017	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	67	Waveform 1	1
LF	10.1495	20250.0	20160.0	4.690018352247768	10.1445	10.1575	18593	24072	Nyctalus noctula	0.014	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	68	Waveform 1	1
LF	10.315233333333332	23250.0	23040.0	3.1021319446524003	10.3145	10.3236	22890	29744	Plecotus austriacus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	69	Waveform 1	1
HF	10.3262	47250.0	45120.0	2.681200336886516	10.3175	10.3268	45234	50811	Pipistrellus pipistrellus	0.024	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	70	Waveform 1	1
HF	10.723166666666666	40500.0	40320.0	2.2271667407102016	10.7125	10.7245	40078	42764	Pipistrellus nathusii	0.025	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	71	Waveform 1	1
HF	10.7735	38250.0	40320.0	2.7444967789654755	10.7715	10.7805	34921	42756	Barbastellus barbastellus	0.021	0.044	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	72	Waveform 1	1
LF	11.0904	24750.0	24000.0	2.766360560648048	11.0895	11.0961	23750	36892	Plecotus austriacus	0.014	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	73	Waveform 1	1
LF	11.209799999999998	23250.0	23040.0	2.207694889343858	11.2045	11.2172	22031	26107	Nyctalus leisleri	0.013	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	74	Waveform 1	1
