Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	_merge	Selection	View	Channel
HF	64.0417	49500.0	48960.0	1.930784091397363	64.0395	64.0448	34062	59954	Myotis mystacinus	0.01	0.033	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	25	Waveform 1	1
HF	64.09826666666666	49500.0	48960.0	5.2084504963942315	64.0955	64.1014	33203	68060	Myotis daubentonii	0.009	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	26	Waveform 1	1
HF	64.15103333333333	51750.0	51840.0	3.669472792878544	64.1505	64.1563	32343	73677	Myotis mystacinus	0.02	0.047	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	27	Waveform 1	1
HF	64.2323	53250.0	48960.0	0.8931731212008271	64.2305	64.2362	33203	69657	Myotis mystacinus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	28	Waveform 1	1
HF	64.2948	50250.0	50880.0	0.4670187646512821	64.2925	64.2977	32343	69945	Myotis mystacinus	0.012	0.032	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	29	Waveform 1	1
HF	64.34813333333334	51750.0	49920.0	0.8370679085877376	64.3435	64.3487	33203	71757	Myotis brandtii	0.011	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	30	Waveform 1	1
HF	64.78396666666667	56250.0	56640.0	3.583006772887894	64.7825	64.7897	56406	62648	Pipistrellus pygmaeus	0.027	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	31	Waveform 1	1
HF	64.78373333333333	53250.0	49920.0	5.707355455641218	64.7825	64.7876	32343	70241	Myotis mystacinus	0.013	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	32	Waveform 1	1
HF	64.83103333333334	51000.0	49920.0	4.022857936753162	64.8295	64.8343	32343	75124	Myotis mystacinus	0.019	0.052	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	33	Waveform 1	1
HF	64.8736	52500.0	48960.0	3.910858565594475	64.8715	64.8769	31484	80962	Myotis mystacinus	0.019	0.046	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	34	Waveform 1	1
HF	64.89673333333333	49500.0	46080.0	3.015593542965047	64.8955	64.9006	31484	73989	Myotis mystacinus	0.02	0.059	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	left_only	35	Waveform 1	1
