,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
108,0.23,890,1138,861,29,277,0,0.9674157303370786,0.7565905096660809,20220826_070000.WAV,Central Pond
109,0.24,866,1138,841,25,297,0,0.9711316397228638,0.7390158172231986,20220826_070000.WAV,Central Pond
110,0.25,837,1138,816,21,322,0,0.974910394265233,0.7170474516695958,20220826_070000.WAV,Central Pond
111,0.26,818,1138,800,18,338,0,0.9779951100244498,0.70298769771529,20220826_070000.WAV,Central Pond
112,0.27,797,1138,782,15,356,0,0.9811794228356336,0.687170474516696,20220826_070000.WAV,Central Pond
113,0.28,773,1138,761,12,377,0,0.9844760672703752,0.6687170474516696,20220826_070000.WAV,Central Pond
114,0.29,754,1138,742,12,396,0,0.9840848806366048,0.6520210896309314,20220826_070000.WAV,Central Pond
115,0.3,733,1138,723,10,415,0,0.9863574351978172,0.6353251318101933,20220826_070000.WAV,Central Pond
116,0.31,720,1138,710,10,428,0,0.9861111111111112,0.6239015817223199,20220826_070000.WAV,Central Pond
117,0.32,696,1138,688,8,450,0,0.9885057471264368,0.6045694200351494,20220826_070000.WAV,Central Pond
118,0.33,665,1138,657,8,481,0,0.98796992481203,0.5773286467486819,20220826_070000.WAV,Central Pond
119,0.34,630,1138,623,7,515,0,0.9888888888888889,0.5474516695957821,20220826_070000.WAV,Central Pond
120,0.35,599,1138,593,6,545,0,0.989983305509182,0.5210896309314587,20220826_070000.WAV,Central Pond
121,0.36,578,1138,573,5,565,0,0.9913494809688581,0.5035149384885764,20220826_070000.WAV,Central Pond
122,0.37,564,1138,559,5,579,0,0.9911347517730497,0.4912126537785589,20220826_070000.WAV,Central Pond
123,0.38,544,1138,539,5,599,0,0.9908088235294118,0.47363796133567665,20220826_070000.WAV,Central Pond
124,0.39,524,1138,520,4,618,0,0.9923664122137404,0.45694200351493847,20220826_070000.WAV,Central Pond
125,0.4,495,1138,491,4,647,0,0.9919191919191919,0.4314586994727592,20220826_070000.WAV,Central Pond
126,0.41,473,1138,470,3,668,0,0.9936575052854123,0.4130052724077329,20220826_070000.WAV,Central Pond
127,0.42,446,1138,444,2,694,0,0.9955156950672646,0.39015817223198596,20220826_070000.WAV,Central Pond
128,0.43,421,1138,420,1,718,0,0.997624703087886,0.36906854130052724,20220826_070000.WAV,Central Pond
129,0.44,403,1138,402,1,736,0,0.9975186104218362,0.3532513181019332,20220826_070000.WAV,Central Pond
130,0.45,378,1138,377,1,761,0,0.9973544973544973,0.3312829525483304,20220826_070000.WAV,Central Pond
131,0.46,356,1138,355,1,783,0,0.9971910112359551,0.31195079086115995,20220826_070000.WAV,Central Pond
132,0.47,335,1138,334,1,804,0,0.9970149253731343,0.29349736379613356,20220826_070000.WAV,Central Pond
133,0.48,315,1138,314,1,824,0,0.9968253968253968,0.2759226713532513,20220826_070000.WAV,Central Pond
134,0.49,295,1138,294,1,844,0,0.9966101694915255,0.2583479789103691,20220826_070000.WAV,Central Pond
135,0.5,274,1138,273,1,865,0,0.9963503649635036,0.2398945518453427,20220826_070000.WAV,Central Pond
136,0.51,257,1138,257,0,881,0,1.0,0.22583479789103691,20220826_070000.WAV,Central Pond
137,0.52,238,1138,238,0,900,0,1.0,0.20913884007029876,20220826_070000.WAV,Central Pond
138,0.53,219,1138,219,0,919,0,1.0,0.19244288224956063,20220826_070000.WAV,Central Pond
139,0.54,190,1138,190,0,948,0,1.0,0.16695957820738136,20220826_070000.WAV,Central Pond
140,0.55,171,1138,171,0,967,0,1.0,0.15026362038664323,20220826_070000.WAV,Central Pond
141,0.56,157,1138,157,0,981,0,1.0,0.13796133567662566,20220826_070000.WAV,Central Pond
142,0.57,137,1138,137,0,1001,0,1.0,0.12038664323374342,20220826_070000.WAV,Central Pond
143,0.58,123,1138,123,0,1015,0,1.0,0.10808435852372583,20220826_070000.WAV,Central Pond
144,0.59,103,1138,103,0,1035,0,1.0,0.09050966608084358,20220826_070000.WAV,Central Pond
145,0.6,91,1138,91,0,1047,0,1.0,0.07996485061511424,20220826_070000.WAV,Central Pond
146,0.61,74,1138,74,0,1064,0,1.0,0.06502636203866433,20220826_070000.WAV,Central Pond
147,0.62,63,1138,63,0,1075,0,1.0,0.05536028119507909,20220826_070000.WAV,Central Pond
148,0.63,53,1138,53,0,1085,0,1.0,0.04657293497363796,20220826_070000.WAV,Central Pond
149,0.64,48,1138,48,0,1090,0,1.0,0.0421792618629174,20220826_070000.WAV,Central Pond
150,0.65,37,1138,37,0,1101,0,1.0,0.03251318101933216,20220826_070000.WAV,Central Pond
151,0.66,30,1138,30,0,1108,0,1.0,0.026362038664323375,20220826_070000.WAV,Central Pond
152,0.67,24,1138,24,0,1114,0,1.0,0.0210896309314587,20220826_070000.WAV,Central Pond
153,0.68,14,1138,14,0,1124,0,1.0,0.012302284710017574,20220826_070000.WAV,Central Pond
154,0.69,10,1138,10,0,1128,0,1.0,0.008787346221441126,20220826_070000.WAV,Central Pond
155,0.7,10,1138,10,0,1128,0,1.0,0.008787346221441126,20220826_070000.WAV,Central Pond
156,0.71,7,1138,7,0,1131,0,1.0,0.006151142355008787,20220826_070000.WAV,Central Pond
157,0.72,5,1138,5,0,1133,0,1.0,0.004393673110720563,20220826_070000.WAV,Central Pond
158,0.73,5,1138,5,0,1133,0,1.0,0.004393673110720563,20220826_070000.WAV,Central Pond
159,0.74,4,1138,4,0,1134,0,1.0,0.0035149384885764497,20220826_070000.WAV,Central Pond
160,0.75,3,1138,3,0,1135,0,1.0,0.0026362038664323375,20220826_070000.WAV,Central Pond
161,0.76,3,1138,3,0,1135,0,1.0,0.0026362038664323375,20220826_070000.WAV,Central Pond
162,0.77,1,1138,1,0,1137,0,1.0,0.0008787346221441124,20220826_070000.WAV,Central Pond
163,0.78,1,1138,1,0,1137,0,1.0,0.0008787346221441124,20220826_070000.WAV,Central Pond
164,0.79,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
165,0.8,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
166,0.81,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
167,0.82,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
168,0.83,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
169,0.84,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
170,0.85,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
171,0.86,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
172,0.87,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
173,0.88,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
174,0.89,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
175,0.9,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
176,0.91,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
177,0.92,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
178,0.93,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
179,0.94,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
180,0.95,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
181,0.96,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
182,0.97,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
183,0.98,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
184,0.99,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
185,1.0,0,1138,0,0,1138,0,,0.0,20220826_070000.WAV,Central Pond
186,0.08,666,157,112,554,45,0,0.16816816816816818,0.7133757961783439,20220727_083000.WAV,Foliage
187,0.09,502,157,110,392,47,0,0.21912350597609562,0.7006369426751592,20220727_083000.WAV,Foliage
188,0.1,378,157,107,271,50,0,0.2830687830687831,0.6815286624203821,20220727_083000.WAV,Foliage
189,0.11,303,157,105,198,52,0,0.3465346534653465,0.6687898089171974,20220727_083000.WAV,Foliage
190,0.12,254,157,99,155,58,0,0.38976377952755903,0.6305732484076433,20220727_083000.WAV,Foliage
191,0.13,225,157,98,127,59,0,0.43555555555555553,0.6242038216560509,20220727_083000.WAV,Foliage
192,0.14,203,157,95,108,62,0,0.46798029556650245,0.6050955414012739,20220727_083000.WAV,Foliage
193,0.15,187,157,93,94,64,0,0.49732620320855614,0.5923566878980892,20220727_083000.WAV,Foliage
194,0.16,161,157,90,71,67,0,0.5590062111801242,0.5732484076433121,20220727_083000.WAV,Foliage
195,0.17,145,157,84,61,73,0,0.5793103448275863,0.535031847133758,20220727_083000.WAV,Foliage
196,0.18,134,157,83,51,74,0,0.6194029850746269,0.5286624203821656,20220727_083000.WAV,Foliage
197,0.19,122,157,79,43,78,0,0.6475409836065574,0.5031847133757962,20220727_083000.WAV,Foliage
198,0.2,115,157,78,37,79,0,0.6782608695652174,0.4968152866242038,20220727_083000.WAV,Foliage
199,0.21,108,157,76,32,81,0,0.7037037037037037,0.4840764331210191,20220727_083000.WAV,Foliage
200,0.22,102,157,74,28,83,0,0.7254901960784313,0.4713375796178344,20220727_083000.WAV,Foliage
201,0.23,99,157,73,26,84,0,0.7373737373737373,0.46496815286624205,20220727_083000.WAV,Foliage
202,0.24,94,157,72,22,85,0,0.7659574468085106,0.4585987261146497,20220727_083000.WAV,Foliage
203,0.25,89,157,71,18,86,0,0.797752808988764,0.45222929936305734,20220727_083000.WAV,Foliage
204,0.26,84,157,69,15,88,0,0.8214285714285714,0.4394904458598726,20220727_083000.WAV,Foliage
205,0.27,80,157,69,11,88,0,0.8625,0.4394904458598726,20220727_083000.WAV,Foliage
206,0.28,77,157,68,9,89,0,0.8831168831168831,0.43312101910828027,20220727_083000.WAV,Foliage
207,0.29,75,157,67,8,90,0,0.8933333333333333,0.4267515923566879,20220727_083000.WAV,Foliage
208,0.3,74,157,66,8,91,0,0.8918918918918919,0.42038216560509556,20220727_083000.WAV,Foliage
209,0.31,70,157,63,7,94,0,0.9,0.4012738853503185,20220727_083000.WAV,Foliage
210,0.32,67,157,61,6,96,0,0.9104477611940298,0.3885350318471338,20220727_083000.WAV,Foliage
211,0.33,62,157,57,5,100,0,0.9193548387096774,0.3630573248407643,20220727_083000.WAV,Foliage
212,0.34,61,157,56,5,101,0,0.9180327868852459,0.35668789808917195,20220727_083000.WAV,Foliage
213,0.35,57,157,53,4,104,0,0.9298245614035088,0.3375796178343949,20220727_083000.WAV,Foliage
214,0.36,54,157,50,4,107,0,0.9259259259259259,0.3184713375796178,20220727_083000.WAV,Foliage
215,0.37,51,157,48,3,109,0,0.9411764705882353,0.3057324840764331,20220727_083000.WAV,Foliage
216,0.38,49,157,46,3,111,0,0.9387755102040817,0.2929936305732484,20220727_083000.WAV,Foliage
217,0.39,47,157,44,3,113,0,0.9361702127659575,0.2802547770700637,20220727_083000.WAV,Foliage
218,0.4,44,157,43,1,114,0,0.9772727272727273,0.27388535031847133,20220727_083000.WAV,Foliage
219,0.41,42,157,41,1,116,0,0.9761904761904762,0.2611464968152866,20220727_083000.WAV,Foliage
220,0.42,38,157,37,1,120,0,0.9736842105263158,0.2356687898089172,20220727_083000.WAV,Foliage
221,0.43,36,157,35,1,122,0,0.9722222222222222,0.2229299363057325,20220727_083000.WAV,Foliage
222,0.44,34,157,33,1,124,0,0.9705882352941176,0.21019108280254778,20220727_083000.WAV,Foliage
223,0.45,32,157,31,1,126,0,0.96875,0.19745222929936307,20220727_083000.WAV,Foliage
224,0.46,30,157,29,1,128,0,0.9666666666666667,0.18471337579617833,20220727_083000.WAV,Foliage
225,0.47,29,157,28,1,129,0,0.9655172413793104,0.17834394904458598,20220727_083000.WAV,Foliage
226,0.48,26,157,25,1,132,0,0.9615384615384616,0.1592356687898089,20220727_083000.WAV,Foliage
227,0.49,24,157,23,1,134,0,0.9583333333333334,0.1464968152866242,20220727_083000.WAV,Foliage
228,0.5,22,157,22,0,135,0,1.0,0.14012738853503184,20220727_083000.WAV,Foliage
229,0.51,20,157,20,0,137,0,1.0,0.12738853503184713,20220727_083000.WAV,Foliage
230,0.52,18,157,18,0,139,0,1.0,0.11464968152866242,20220727_083000.WAV,Foliage
231,0.53,15,157,15,0,142,0,1.0,0.09554140127388536,20220727_083000.WAV,Foliage
232,0.54,15,157,15,0,142,0,1.0,0.09554140127388536,20220727_083000.WAV,Foliage
233,0.55,13,157,13,0,144,0,1.0,0.08280254777070063,20220727_083000.WAV,Foliage
234,0.56,12,157,12,0,145,0,1.0,0.07643312101910828,20220727_083000.WAV,Foliage
235,0.57,11,157,11,0,146,0,1.0,0.07006369426751592,20220727_083000.WAV,Foliage
