KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,25920.0,3.381153534154197,108.7425,108.7563,24609.0,30482.0,Eptesicus serotinus,0.181,0.394,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,25920.0,7.05111615385023,108.8865,108.8977,25468.0,31859.0,Eptesicus serotinus,0.255,0.478,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,25920.0,4.261895586088706,109.0265,109.0394,25468.0,31803.0,Eptesicus serotinus,0.221,0.438,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,5.892208288392614,109.16550000000001,109.1796,25468.0,30748.0,Nyctalus leisleri,0.205,0.369,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,6.654831137193879,109.45949999999999,109.4705,26328.0,33129.0,Eptesicus serotinus,0.261,0.463,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,4.66679297046082,109.6075,109.6224,26328.0,30646.0,Nyctalus leisleri,0.185,0.317,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,27840.0,6.032595205003938,110.3845,110.3957,26328.0,33420.0,Eptesicus serotinus,0.18,0.326,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,8.010177318253627,110.5255,110.5354,27187.0,35040.0,Eptesicus serotinus,0.297,0.513,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,10.481366830950982,110.6615,110.6717,26328.0,38477.0,Eptesicus serotinus,0.468,0.61,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,14.417329858423859,110.8005,110.81,27187.0,37482.0,Eptesicus serotinus,0.44,0.636,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,19.126949774004988,110.9435,110.955,25468.0,41883.0,Eptesicus serotinus,0.482,0.691,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,21.22245223301311,111.08449999999999,111.0968,25468.0,40572.0,Eptesicus serotinus,0.528,0.715,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,21.852342721148716,111.2295,111.241,25468.0,43722.0,Eptesicus serotinus,0.509,0.75,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,25920.0,20.48140825423404,111.3605,111.3752,23750.0,36442.0,Eptesicus serotinus,0.452,0.653,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,23.17629856567237,111.4915,111.504,25468.0,43489.0,Eptesicus serotinus,0.478,0.711,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,18.043269213461034,111.62049999999999,111.634,25468.0,36259.0,Eptesicus serotinus,0.374,0.596,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,28800.0,10.100538455471229,111.7245,111.7349,26328.0,34647.0,Eptesicus serotinus,0.297,0.481,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
LF,26880.0,22.98693695057873,111.8595,111.869,26328.0,39270.0,Eptesicus serotinus,0.306,0.601,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20250821/UBNA_022/20250808_040000.WAV,recover-20250821,UBNA_022,Foliage
