KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,sampling_rate,input_file,Recover Folder,SD Card,Site name
LF,25920.0,17.36115925383148,246.1675,246.1808,25468.0,29383.0,Echolocation,Nyctalus leisleri,0.348,0.388,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,20.017902690838344,262.3355,262.3492,25468.0,30188.0,Echolocation,Nyctalus leisleri,0.346,0.4,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,9.867177045150623,292.3445,292.3574,25468.0,28624.0,Echolocation,Nyctalus leisleri,0.272,0.317,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,25920.0,18.995682754601503,297.8435,297.8595,25468.0,28968.0,Echolocation,Nyctalus leisleri,0.323,0.357,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_205000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,3.5530005729637653,4.9075,4.9197,27187.0,33729.0,Echolocation,Eptesicus serotinus,0.177,0.343,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_210000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,3.6892293731338963,176.9325,176.9467,27187.0,32351.0,Echolocation,Eptesicus serotinus,0.152,0.331,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_211000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,27840.0,0.9990517483069805,226.6875,226.699,27187.0,33235.0,Echolocation,Eptesicus serotinus,0.169,0.37,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_211000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,0.7912379420479659,85.8205,85.8411,21171.0,24635.0,Echolocation,Nyctalus leisleri,0.176,0.302,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,23040.0,3.5997495623876885,136.3995,136.4184,22031.0,25372.0,Echolocation,Nyctalus leisleri,0.23,0.33,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,24.04743380288022,267.89549999999997,267.9092,11718.0,23695.0,Echolocation,Eptesicus serotinus,0.204,0.388,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,23040.0,31.29770884814842,274.4015,274.4135,13437.0,25516.0,Echolocation,Nyctalus noctula,0.165,0.317,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,32.551800485062294,274.5305,274.5432,11718.0,25238.0,Echolocation,Eptesicus serotinus,0.183,0.368,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,22080.0,6.11809729176803,292.3735,292.3924,21171.0,23958.0,Echolocation,Nyctalus leisleri,0.369,0.388,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_213000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,29760.0,3.3915350994229194,112.6725,112.6765,28046.0,39563.0,Echolocation,Plecotus auritus,0.172,0.354,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_214000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,32640.0,4.7813060733228605,216.3435,216.3466,28906.0,44483.0,Echolocation,Plecotus austriacus,0.162,0.362,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_221000.WAV,recover-20260318,UBNA_022,E18 Bridge
LF,34560.0,8.256545640939219,7.3545,7.3579,27187.0,44450.0,Echolocation,Plecotus austriacus,0.119,0.326,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_222000.WAV,recover-20260318,UBNA_022,E18 Bridge
HF,41280.0,4.229636956325803,50.426500000000004,50.4299,30625.0,48644.0,Echolocation,Myotis nattereri,0.094,0.304,-1,192000.0,/mnt/ubna_data_07/recover-20260318/UBNA_022/20260305_223000.WAV,recover-20260318,UBNA_022,E18 Bridge
