,SNR_threshold,detection_threshold,num_bd2_detections,num_human_annotations,true_positives,false_positives,false_negatives,true_negatives,precision,recall,input_file_name,site_name
109,2.0,0.5,65,123,65,0,58,0,1.0,0.5284552845528455,20220730_053000.WAV,Carp Pond
110,2.0,0.51,60,123,60,0,63,0,1.0,0.4878048780487805,20220730_053000.WAV,Carp Pond
111,2.0,0.52,55,123,55,0,68,0,1.0,0.44715447154471544,20220730_053000.WAV,Carp Pond
112,2.0,0.53,54,123,54,0,69,0,1.0,0.43902439024390244,20220730_053000.WAV,Carp Pond
113,2.0,0.54,50,123,50,0,73,0,1.0,0.4065040650406504,20220730_053000.WAV,Carp Pond
114,2.0,0.55,47,123,47,0,76,0,1.0,0.3821138211382114,20220730_053000.WAV,Carp Pond
115,2.0,0.56,40,123,40,0,83,0,1.0,0.3252032520325203,20220730_053000.WAV,Carp Pond
116,2.0,0.57,34,123,34,0,89,0,1.0,0.2764227642276423,20220730_053000.WAV,Carp Pond
117,2.0,0.58,32,123,32,0,91,0,1.0,0.2601626016260163,20220730_053000.WAV,Carp Pond
118,2.0,0.59,28,123,28,0,95,0,1.0,0.22764227642276422,20220730_053000.WAV,Carp Pond
119,2.0,0.6,22,123,22,0,101,0,1.0,0.17886178861788618,20220730_053000.WAV,Carp Pond
120,4.0,0.01,199,100,92,107,8,0,0.4623115577889447,0.92,20220730_053000.WAV,Carp Pond
121,4.0,0.02,199,100,92,107,8,0,0.4623115577889447,0.92,20220730_053000.WAV,Carp Pond
122,4.0,0.03,166,100,92,74,8,0,0.5542168674698795,0.92,20220730_053000.WAV,Carp Pond
123,4.0,0.04,149,100,92,57,8,0,0.6174496644295302,0.92,20220730_053000.WAV,Carp Pond
124,4.0,0.05,130,100,92,38,8,0,0.7076923076923077,0.92,20220730_053000.WAV,Carp Pond
125,4.0,0.06,126,100,92,34,8,0,0.7301587301587301,0.92,20220730_053000.WAV,Carp Pond
126,4.0,0.07,120,100,92,28,8,0,0.7666666666666667,0.92,20220730_053000.WAV,Carp Pond
127,4.0,0.08,116,100,92,24,8,0,0.7931034482758621,0.92,20220730_053000.WAV,Carp Pond
128,4.0,0.09,116,100,92,24,8,0,0.7931034482758621,0.92,20220730_053000.WAV,Carp Pond
129,4.0,0.1,116,100,92,24,8,0,0.7931034482758621,0.92,20220730_053000.WAV,Carp Pond
130,4.0,0.11,116,100,92,24,8,0,0.7931034482758621,0.92,20220730_053000.WAV,Carp Pond
131,4.0,0.12,114,100,91,23,9,0,0.7982456140350878,0.91,20220730_053000.WAV,Carp Pond
132,4.0,0.13,112,100,91,21,9,0,0.8125,0.91,20220730_053000.WAV,Carp Pond
133,4.0,0.14,111,100,91,20,9,0,0.8198198198198198,0.91,20220730_053000.WAV,Carp Pond
134,4.0,0.15,111,100,91,20,9,0,0.8198198198198198,0.91,20220730_053000.WAV,Carp Pond
135,4.0,0.16,110,100,91,19,9,0,0.8272727272727273,0.91,20220730_053000.WAV,Carp Pond
136,4.0,0.17,108,100,90,18,10,0,0.8333333333333334,0.9,20220730_053000.WAV,Carp Pond
137,4.0,0.18,108,100,90,18,10,0,0.8333333333333334,0.9,20220730_053000.WAV,Carp Pond
138,4.0,0.19,108,100,90,18,10,0,0.8333333333333334,0.9,20220730_053000.WAV,Carp Pond
139,4.0,0.2,108,100,90,18,10,0,0.8333333333333334,0.9,20220730_053000.WAV,Carp Pond
140,4.0,0.21,108,100,90,18,10,0,0.8333333333333334,0.9,20220730_053000.WAV,Carp Pond
141,4.0,0.22,107,100,90,17,10,0,0.8411214953271028,0.9,20220730_053000.WAV,Carp Pond
142,4.0,0.23,106,100,90,16,10,0,0.8490566037735849,0.9,20220730_053000.WAV,Carp Pond
143,4.0,0.24,105,100,89,16,11,0,0.8476190476190476,0.89,20220730_053000.WAV,Carp Pond
144,4.0,0.25,105,100,89,16,11,0,0.8476190476190476,0.89,20220730_053000.WAV,Carp Pond
145,4.0,0.26,103,100,88,15,12,0,0.8543689320388349,0.88,20220730_053000.WAV,Carp Pond
146,4.0,0.27,103,100,88,15,12,0,0.8543689320388349,0.88,20220730_053000.WAV,Carp Pond
147,4.0,0.28,102,100,88,14,12,0,0.8627450980392157,0.88,20220730_053000.WAV,Carp Pond
148,4.0,0.29,102,100,88,14,12,0,0.8627450980392157,0.88,20220730_053000.WAV,Carp Pond
149,4.0,0.3,102,100,88,14,12,0,0.8627450980392157,0.88,20220730_053000.WAV,Carp Pond
150,4.0,0.31,101,100,88,13,12,0,0.8712871287128713,0.88,20220730_053000.WAV,Carp Pond
