Manually-Verified Phonic Group	peak_frequency_time_SPECTROGRAM	peak_frequency_SPECTROGRAM	peak_frequency_WELCH	SNR	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	class	class_prob	det_prob	individual	Annotation	sampling_rate	input_file	Selection	View	Channel
HF	2.0128	75750.0	72000.0	-0.784766307931575	2.0015	2.0327	68437	79716	Rhinolophus ferrumequinum	0.06	0.06	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	56	Waveform 1	1
LF	2.0036	27750.0	26880.000000000004	-0.3474550385234143	2.0015	2.0104	27187	36918	Nyctalus leisleri	0.008	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	57	Waveform 1	1
HF	2.051	78000.0	71040.0	0.1862555226116191	2.0495	2.087	68437	82316	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	58	Waveform 1	1
LF	2.1141000000000005	26250.0	23040.0	1.0373357930246327	2.1135	2.1204	23750	40152	Myotis nattereri	0.01	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	59	Waveform 1	1
HF	2.158833333333334	48000.0	47040.0	-0.1480545637523262	2.1575	2.1625	39218	67737	Myotis bechsteinii	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	60	Waveform 1	1
HF	2.2120333333333333	71250.0	71040.0	0.0849834948482052	2.1755	2.2153	68437	82413	Rhinolophus ferrumequinum	0.036	0.036	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	61	Waveform 1	1
LF	2.223566666666667	22500.0	22080.0	1.0868734107076667	2.2155	2.2266	22031	27472	Nyctalus leisleri	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	62	Waveform 1	1
LF	2.273933333333334	21000.0	21120.0	2.2653113086551984	2.2715	2.2789	16015	25512	Plecotus auritus	0.024	0.041	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	63	Waveform 1	1
LF	2.2988333333333335	24000.0	23040.0	0.3060528756559484	2.2895	2.3005	24609	29519	Nyctalus leisleri	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	64	Waveform 1	1
HF	2.3130666666666673	74250.0	70080.0	1.0946345715748826	2.3105	2.3481	68437	82264	Rhinolophus ferrumequinum	0.028	0.028	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	65	Waveform 1	1
HF	2.3293666666666666	52500.0	52800.00000000001	1.5836387458838614	2.3215	2.3328	49531	57576	Pipistrellus pipistrellus	0.025	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	66	Waveform 1	1
HF	2.356333333333333	39750.0	38400.0	0.5384017202937803	2.3505	2.3615	36640	44678	Pipistrellus nathusii	0.007	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	67	Waveform 1	1
HF	2.415633333333333	71250.0	72960.0	-0.847225689756893	2.3745	2.4167	68437	82727	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	68	Waveform 1	1
LF	2.383466666666666	22500.0	23040.0	1.3659412335131649	2.3825	2.3902	22890	30958	Plecotus austriacus	0.015	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	69	Waveform 1	1
LF	2.432366666666667	17250.0	17280.0	5.433548833719417	2.4305	2.4373	13437	25179	Plecotus auritus	0.035	0.043	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	70	Waveform 1	1
LF	2.4413333333333336	24750.0	24000.0	-0.4125240212864261	2.4375	2.4435	24609	44045	Myotis nattereri	0.009	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	71	Waveform 1	1
LF	2.4740666666666673	25500.0	23040.0	-0.1576107172855379	2.4725	2.4796	23750	32720	Plecotus austriacus	0.014	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	72	Waveform 1	1
LF	2.5038666666666667	24000.0	24000.0	0.6872191933049057	2.4985	2.5053	24609	35910	Plecotus austriacus	0.01	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	73	Waveform 1	1
HF	2.5324333333333335	75000.0	70080.0	-0.12590979122756	2.5105	2.5509	68437	83114	Rhinolophus ferrumequinum	0.027	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	74	Waveform 1	1
LF	2.5218000000000003	25500.0	23040.0	0.1318610650348544	2.5195	2.5317	23750	28427	Nyctalus leisleri	0.015	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	75	Waveform 1	1
HF	2.6060000000000003	71250.0	70080.0	0.6635530250832488	2.5705	2.609	68437	82586	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	76	Waveform 1	1
HF	2.662066666666667	49500.0	48960.0	4.221418434117896	2.6585	2.6671	46093	50384	Pipistrellus pipistrellus	0.12	0.128	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	77	Waveform 1	1
LF	2.6982333333333335	23250.0	24000.0	-0.0173488335540553	2.6925	2.7001	23750	37669	Plecotus austriacus	0.012	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	78	Waveform 1	1
HF	2.7961666666666667	48750.0	48960.0	2.1430998166771147	2.7935	2.7995	46093	53707	Pipistrellus pipistrellus	0.093	0.098	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	79	Waveform 1	1
HF	2.853566666666667	81750.0	70080.0	-0.0306492334845767	2.8365	2.8701	68437	81360	Rhinolophus ferrumequinum	0.023	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	80	Waveform 1	1
LF	2.8690333333333338	15750.0	17280.0	2.9577854733800706	2.8675	2.8793	15156	20090	Nyctalus noctula	0.016	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	81	Waveform 1	1
HF	2.8915666666666664	76500.0	74880.0	0.5425288641397279	2.8905	2.9331	68437	83671	Rhinolophus ferrumequinum	0.039	0.039	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	82	Waveform 1	1
HF	2.9337	48000.0	47040.0	2.922363939542489	2.9295	2.9363	46093	55027	Pipistrellus pipistrellus	0.054	0.059	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	83	Waveform 1	1
HF	3.0237666666666665	72750.0	72000.0	-0.5281862801192508	3.0075	3.0419	68437	81673	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	84	Waveform 1	1
HF	3.0558333333333336	73500.0	69120.0	0.9989943913316158	3.0495	3.095	68437	83487	Rhinolophus ferrumequinum	0.029	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	85	Waveform 1	1
HF	3.1286	79500.0	78720.0	0.5448612821158454	3.1075	3.1464	68437	82552	Rhinolophus ferrumequinum	0.024	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	86	Waveform 1	1
LF	3.166633333333334	25500.0	24000.0	0.1954564681328102	3.1665	3.1727	24609	40223	Plecotus austriacus	0.013	0.034	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	87	Waveform 1	1
HF	3.1826000000000008	71250.0	81600.0	-0.0685580374037842	3.1815	3.2194	68437	81528	Rhinolophus ferrumequinum	0.029	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	88	Waveform 1	1
HF	3.190966666666667	40500.0	40320.0	0.7223055984722466	3.1905	3.1952	36640	49956	Barbastellus barbastellus	0.006	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	89	Waveform 1	1
LF	3.2284	24000.0	24000.0	0.3858318269265193	3.2245	3.2351	23750	30970	Nyctalus leisleri	0.01	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	90	Waveform 1	1
HF	3.262566666666667	74250.0	70080.0	0.4808376841016155	3.2255	3.2636	68437	82093	Rhinolophus ferrumequinum	0.031	0.031	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	91	Waveform 1	1
LF	3.3211333333333335	24750.0	23040.0	1.6053412972786965	3.3155	3.3267	23750	28569	Nyctalus leisleri	0.011	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	92	Waveform 1	1
HF	3.3474	67500.0	69120.0	-0.3191072442765181	3.3415	3.3711	67578	78481	Rhinolophus ferrumequinum	0.021	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	93	Waveform 1	1
LF	3.383400000000001	22500.0	23040.0	1.3123467826328228	3.3795	3.3901	22031	27104	Nyctalus leisleri	0.01	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	94	Waveform 1	1
LF	3.41	24750.0	24000.0	1.3126354982218704	3.4095	3.4165	24609	39891	Plecotus austriacus	0.011	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	95	Waveform 1	1
LF	3.4307000000000003	24000.0	24000.0	1.1061118589623884	3.4295	3.4358	23750	39733	Plecotus austriacus	0.01	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	96	Waveform 1	1
LF	3.4490000000000007	23250.0	23040.0	-1.2889766347132428	3.4485	3.4555	23750	37797	Plecotus austriacus	0.008	0.023	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	97	Waveform 1	1
HF	3.5035333333333334	74250.0	71040.0	1.196642724863748	3.4995	3.5403	68437	82970	Rhinolophus ferrumequinum	0.03	0.03	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	98	Waveform 1	1
LF	3.550266666666667	36000.0	36480.0	-0.0571290403400259	3.5465	3.5549	30625	41597	Eptesicus serotinus	0.008	0.024	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	99	Waveform 1	1
HF	3.6322333333333336	75000.0	73920.0	-0.3262755570171141	3.5975	3.6356	68437	82509	Rhinolophus ferrumequinum	0.025	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	100	Waveform 1	1
HF	3.6153	51000.0	49920.0	0.70296064033526	3.6135	3.6227	48671	54335	Pipistrellus pipistrellus	0.021	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	101	Waveform 1	1
HF	3.6641	53250.0	52800.00000000001	1.3213082980327275	3.6605	3.6679	51250	58603	Pipistrellus pipistrellus	0.028	0.035	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	102	Waveform 1	1
LF	3.6788333333333334	27000.0	23040.0	0.5903076558794265	3.6725	3.6795	24609	39054	Plecotus austriacus	0.007	0.022	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	103	Waveform 1	1
HF	3.6989	48750.0	48960.0	0.7825647314428872	3.6935	3.7026	44375	54089	Pipistrellus pipistrellus	0.02	0.027	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	104	Waveform 1	1
HF	3.753833333333334	71250.0	72960.0	-0.1332307776391971	3.7385	3.782	68437	83321	Rhinolophus ferrumequinum	0.026	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	105	Waveform 1	1
HF	3.773733333333334	46500.0	46080.0	6.879404199032511	3.7705	3.7771	45234	54096	Pipistrellus pipistrellus	0.466	0.512	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	106	Waveform 1	1
LF	3.8302333333333336	24000.0	23040.0	1.0231962880304837	3.8285	3.8401	23750	28703	Nyctalus leisleri	0.015	0.029	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	107	Waveform 1	1
HF	3.8664333333333336	46500.0	46080.0	0.9912244322211844	3.8615	3.8699	46093	51396	Pipistrellus pipistrellus	0.024	0.026	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	108	Waveform 1	1
LF	3.887966666666667	24000.0	22080.0	1.1485749866130115	3.8865	3.8937	22031	30213	Plecotus austriacus	0.016	0.025	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	109	Waveform 1	1
HF	3.914266666666667	47250.0	46080.0	8.649871245924555	3.9105	3.9154	45234	59565	Pipistrellus pipistrellus	0.266	0.355	-1	Echolocation	192000	/home/adkris/Documents/mila-human-wav-txt/20220826_070000.WAV	110	Waveform 1	1
