start_time,end_time,low_freq,high_freq,event,class,class_prob,det_prob,individual,input_file,Recover Folder,SD Card,Site name
1065.9645,1065.9733,40937.0,49322.0,Echolocation,Pipistrellus nathusii,0.46,0.561,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.0495,1066.0592,40937.0,59210.0,Echolocation,Pipistrellus nathusii,0.573,0.651,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.1495,1066.1592,40937.0,54289.0,Echolocation,Pipistrellus nathusii,0.494,0.584,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.2345,1066.2462,40078.0,59401.0,Echolocation,Pipistrellus nathusii,0.5,0.582,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.4135,1066.4237,39218.0,55978.0,Echolocation,Pipistrellus nathusii,0.472,0.536,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.5055,1066.5163,40078.0,59617.0,Echolocation,Pipistrellus nathusii,0.497,0.58,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.5865,1066.5975,40937.0,60487.0,Echolocation,Pipistrellus nathusii,0.54,0.616,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.7095,1066.719,40078.0,55634.0,Echolocation,Pipistrellus nathusii,0.48,0.551,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.8045,1066.8141,40078.0,56830.0,Echolocation,Pipistrellus nathusii,0.534,0.578,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.8925,1066.9007,40078.0,56983.0,Echolocation,Pipistrellus nathusii,0.513,0.58,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1066.9885,1066.9978,39218.0,53961.0,Echolocation,Pipistrellus nathusii,0.589,0.645,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.0845,1067.0948,39218.0,61773.0,Echolocation,Pipistrellus nathusii,0.534,0.616,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.1795,1067.1911,38359.0,54842.0,Echolocation,Pipistrellus nathusii,0.532,0.581,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.2805,1067.2889,39218.0,57629.0,Echolocation,Pipistrellus nathusii,0.589,0.682,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.3745,1067.3839,40078.0,55166.0,Echolocation,Pipistrellus nathusii,0.601,0.657,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.8155,1067.8232,40937.0,50090.0,Echolocation,Pipistrellus nathusii,0.574,0.604,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1067.9065,1067.9171,40078.0,56947.0,Echolocation,Pipistrellus nathusii,0.522,0.57,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1068.2755,1068.2864,40078.0,47533.0,Echolocation,Pipistrellus nathusii,0.501,0.526,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1068.9105,1068.919,40078.0,50213.0,Echolocation,Pipistrellus nathusii,0.453,0.575,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1074.6045,1074.6173,27187.0,32931.0,Echolocation,Nyctalus leisleri,0.373,0.649,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1074.7465,1074.7596,25468.0,32580.0,Echolocation,Eptesicus serotinus,0.37,0.622,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1074.9925,1075.0064,26328.0,34692.0,Echolocation,Eptesicus serotinus,0.294,0.596,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1075.2425,1075.2547,26328.0,32389.0,Echolocation,Nyctalus leisleri,0.333,0.632,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1075.3795,1075.3931,26328.0,36105.0,Echolocation,Eptesicus serotinus,0.365,0.611,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1075.4925,1075.506,28046.0,36850.0,Echolocation,Eptesicus serotinus,0.302,0.506,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1075.8345,1075.8479,26328.0,32543.0,Echolocation,Nyctalus leisleri,0.286,0.58,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1076.0795,1076.0947,26328.0,33461.0,Echolocation,Nyctalus leisleri,0.189,0.569,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
1076.2235,1076.2361,27187.0,33685.0,Echolocation,Nyctalus leisleri,0.298,0.673,-1,/mnt/ubna_data_03/recover-20230830/UBNA_008/20230824_033000.WAV,recover-20230830,UBNA_008,Central Pond
