KMEANS_CLASSES,peak_frequency,SNR,start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,sampling_rate,input_file,Recover Folder,SD Card,Site name
HF,49920.0,3.14281775265207,121.0375,121.0426,48671.0,55854.0,Pipistrellus pipistrellus,0.301,0.307,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,6.629652934340847,121.7315,121.7447,63281.0,67804.0,Pipistrellus pygmaeus,0.351,0.356,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,35520.0,4.2968812840776085,123.1485,123.1533,22890.0,74175.0,Myotis nattereri,0.394,0.469,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,-19.74489571665742,127.0835,127.0979,64140.0,69261.0,Pipistrellus pygmaeus,0.443,0.447,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,15.008927996928536,135.9295,135.9407,64140.0,69855.0,Pipistrellus pygmaeus,0.346,0.349,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,-7.376212855506145,137.0895,137.0995,64140.0,69111.0,Pipistrellus pygmaeus,0.391,0.394,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,68160.0,6.1627633345179795,139.4275,139.4405,64140.0,68791.0,Pipistrellus pygmaeus,0.424,0.43,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,5.707929105324483,139.90449999999998,139.9133,63281.0,68190.0,Pipistrellus pygmaeus,0.323,0.325,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,69120.0,5.131039444002646,140.5435,140.5572,64140.0,69474.0,Pipistrellus pygmaeus,0.323,0.328,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,28.516540123153987,142.2275,142.2424,63281.0,67652.0,Pipistrellus pygmaeus,0.467,0.475,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,6.483116693907309,148.2315,148.2442,63281.0,67560.0,Pipistrellus pygmaeus,0.475,0.482,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,68160.0,5.519965146953776,149.33350000000002,149.3469,64140.0,68485.0,Pipistrellus pygmaeus,0.406,0.412,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,15.70644030934937,150.4515,150.4652,63281.0,68949.0,Pipistrellus pygmaeus,0.339,0.347,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,2.9504096964119846,151.4895,151.5071,63281.0,68497.0,Pipistrellus pygmaeus,0.428,0.434,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,70080.0,28.17927366638148,152.0565,152.0697,65000.0,70746.0,Pipistrellus pygmaeus,0.392,0.398,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,25920.0,0.19884541397613736,152.9935,152.9988,20312.0,51192.0,Myotis nattereri,0.276,0.312,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,31.915233393595134,154.7815,154.7935,64140.0,68282.0,Pipistrellus pygmaeus,0.479,0.482,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,51840.0,-0.8434593420680763,156.1715,156.1767,48671.0,56630.0,Pipistrellus pipistrellus,0.29,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,6.493963733039928,158.1505,158.1631,64140.0,70057.0,Pipistrellus pygmaeus,0.483,0.486,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,8.53861729823018,158.5895,158.59890000000001,64140.0,68239.0,Pipistrellus pygmaeus,0.534,0.539,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,4.8872282380291,160.2935,160.3071,64140.0,69038.0,Pipistrellus pygmaeus,0.531,0.537,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,10.40860721815275,164.5125,164.5263,63281.0,68652.0,Pipistrellus pygmaeus,0.328,0.334,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,68160.0,7.7774194183622125,176.15449999999998,176.1671,63281.0,68217.0,Pipistrellus pygmaeus,0.325,0.329,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,4.050195614132682,177.9115,177.9249,64140.0,68947.0,Pipistrellus pygmaeus,0.49,0.5,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,7.15185824304797,180.5275,180.54,64140.0,68932.0,Pipistrellus pygmaeus,0.504,0.51,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,8.380358753148354,181.5235,181.5345,63281.0,68457.0,Pipistrellus pygmaeus,0.424,0.426,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,67200.0,12.08710691057803,182.0265,182.0361,63281.0,67978.0,Pipistrellus pygmaeus,0.383,0.388,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,67200.0,-4.740645861142403,184.69650000000001,184.7105,64140.0,68717.0,Pipistrellus pygmaeus,0.345,0.356,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,68160.0,4.378068824117565,187.9415,187.9519,64140.0,68176.0,Pipistrellus pygmaeus,0.534,0.541,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,10.997950715974842,189.0105,189.0218,63281.0,67068.0,Pipistrellus pygmaeus,0.404,0.433,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,15.302120887029162,191.5935,191.608,64140.0,70485.0,Pipistrellus pygmaeus,0.302,0.306,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,61.00893868811748,193.67849999999999,193.6942,64140.0,70711.0,Pipistrellus pygmaeus,0.328,0.333,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,69120.0,27.22880403746274,194.8765,194.8909,64140.0,69570.0,Pipistrellus pygmaeus,0.315,0.324,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,4.347738491580083,195.3595,195.3715,64140.0,68775.0,Pipistrellus pygmaeus,0.589,0.599,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,4.131500453505019,198.4315,198.4433,64140.0,68819.0,Pipistrellus pygmaeus,0.473,0.477,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,25.26593444834249,198.9795,198.9951,64140.0,69703.0,Pipistrellus pygmaeus,0.346,0.366,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,69120.0,2.035160162161266,206.9575,206.9706,64140.0,70221.0,Pipistrellus pygmaeus,0.378,0.382,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,11.15062342512915,219.1265,219.1425,63281.0,68101.0,Pipistrellus pygmaeus,0.308,0.324,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,3.9854167034344394,221.3635,221.3788,64140.0,68765.0,Pipistrellus pygmaeus,0.418,0.425,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
LF,24000.0,5.090995327121104,222.3345,222.3393,22031.0,40388.0,Plecotus austriacus,0.231,0.352,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,63360.0,8.183513735987562,229.2275,229.23930000000001,64140.0,67733.0,Pipistrellus pygmaeus,0.506,0.517,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,66240.0,5.446382750715947,234.4605,234.4748,64140.0,68518.0,Pipistrellus pygmaeus,0.498,0.51,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,67200.0,9.260695394602175,243.2645,243.2764,64140.0,68707.0,Pipistrellus pygmaeus,0.565,0.574,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,-4.12865571571759,247.9435,247.9567,63281.0,67956.0,Pipistrellus pygmaeus,0.333,0.343,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,14.517237877311644,258.0925,258.1057,64140.0,69286.0,Pipistrellus pygmaeus,0.48,0.487,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,62400.0,6.557152942170379,268.4675,268.4812,63281.0,67805.0,Pipistrellus pygmaeus,0.482,0.495,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,-0.6191599142087388,270.1945,270.2057,64140.0,68096.0,Pipistrellus pygmaeus,0.517,0.523,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,0.8048016467377732,280.0115,280.0255,63281.0,68127.0,Pipistrellus pygmaeus,0.429,0.442,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,65280.0,7.450489516651797,281.0745,281.0856,63281.0,67100.0,Pipistrellus pygmaeus,0.537,0.546,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
HF,64320.0,5.861363458862451,283.6775,283.69,64140.0,68562.0,Pipistrellus pygmaeus,0.434,0.438,-1,Echolocation,192000.0,/mnt/ubna_data_06/recover-20251126/UBNA_033/20251114_002000.WAV,recover-20251126,UBNA_033,Carp Pond
