start_time,end_time,low_freq,high_freq,class,class_prob,det_prob,individual,event,input_file,Recover Folder,SD Card,Site name
135.5915,135.6035,45234.0,47701.0,Pipistrellus pipistrellus,0.412,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
138.5865,138.6006,43515.0,46042.0,Pipistrellus pipistrellus,0.349,0.504,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
142.5815,142.5957,43515.0,46158.0,Pipistrellus pipistrellus,0.395,0.535,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
144.5795,144.5925,43515.0,46352.0,Pipistrellus pipistrellus,0.412,0.511,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
146.5765,146.5889,43515.0,46518.0,Pipistrellus pipistrellus,0.407,0.546,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
147.5755,147.5882,45234.0,48213.0,Pipistrellus pipistrellus,0.474,0.593,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
151.5715,151.583,45234.0,47974.0,Pipistrellus pipistrellus,0.45,0.501,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
156.5645,156.5794,43515.0,46642.0,Pipistrellus pipistrellus,0.4,0.527,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
158.5615,158.5764,43515.0,46917.0,Pipistrellus pipistrellus,0.43,0.537,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
167.5515,167.5651,44375.0,47868.0,Pipistrellus pipistrellus,0.303,0.513,-1,Echolocation,/mnt/ubna_data_04/recover-20240729/UBNA_007/20240722_204000.WAV,recover-20240729,UBNA_007,Carp Pond
